date,uri,hdUri,copyright,type
2012-07-31,https://www.youtube.com/embed/Ki_Af_o9Q9s?rel=0,https://www.youtube.com/embed/Ki_Af_o9Q9s?rel=0,,video
2012-08-01,https://apod.nasa.gov/apod/image/1208/monumentvalley_pacholka_1387c.jpg,https://apod.nasa.gov/apod/image/1208/monumentvalley_pacholka_1387.jpg,Wally Pacholka,image
2012-08-02,https://apod.nasa.gov/apod/image/1208/Startrails24Schwartz800.jpg,https://apod.nasa.gov/apod/image/1208/Startrails24Schwartz.jpg,Robert Schwarz,image
2012-08-03,https://apod.nasa.gov/apod/image/1208/m5_block900.jpg,https://apod.nasa.gov/apod/image/1208/m5_block.jpg,Adam Block,image
2012-08-04,https://apod.nasa.gov/apod/image/1208/ngc7635VandenBroek900.jpg,https://apod.nasa.gov/apod/image/1208/ngc7635VandenBroek.jpg,Yves Van den Broek,image
2012-08-05,https://apod.nasa.gov/apod/image/1208/IC1396_demartin_960.jpg,https://apod.nasa.gov/apod/image/1208/IC1396_demartin_1324.jpg,,image
2012-08-06,https://player.vimeo.com/video/45856570?color=ffffff,https://player.vimeo.com/video/45856570?color=ffffff,,video
2012-08-07,https://apod.nasa.gov/apod/image/1208/PIA15973MSL700.jpg,https://apod.nasa.gov/apod/image/1208/PIA15973MSL700.jpg,,image
2012-08-08,https://apod.nasa.gov/apod/image/1208/ESP_028256_9022-1sc950.jpg,https://apod.nasa.gov/apod/image/1208/ESP_028256_9022-1.jpg,,image
2012-08-09,https://apod.nasa.gov/apod/image/1208/Ma2011-2Tezel900.jpg,https://apod.nasa.gov/apod/image/1208/Ma2011-2Tezel.jpg,Tunç Tezel,image
2012-08-10,https://apod.nasa.gov/apod/image/1208/iss028e024847perseid900.jpg,https://apod.nasa.gov/apod/image/1208/iss028e024847perseid.jpg,,image
2012-08-11,https://apod.nasa.gov/apod/image/1208/galepan1_curiosity_3653.jpg,https://apod.nasa.gov/apod/image/1208/galepan1_curiosity_3653.jpg,,image
2012-08-12,https://apod.nasa.gov/apod/image/1208/ngc4038_russell_960.jpg,https://apod.nasa.gov/apod/image/1208/ngc4038_russell_2925.jpg,,image
2012-08-13,https://www.youtube.com/embed/08LBltePDZw?rel=0,https://www.youtube.com/embed/08LBltePDZw?rel=0,,video
2012-08-14,https://apod.nasa.gov/apod/image/1208/perseids2012_hackmann_960.jpg,https://apod.nasa.gov/apod/image/1208/perseids2012_hackmann_2000.jpg,Jens Hackmann,image
2012-08-15,https://apod.nasa.gov/apod/image/1208/marsgale_curiosity_960.jpg,https://apod.nasa.gov/apod/image/1208/marsgale_curiosity_1452.jpg,,image
2012-08-16,https://apod.nasa.gov/apod/image/1208/NGC6888-hstpalMetsavainio900.jpg,https://apod.nasa.gov/apod/image/1208/NGC6888-hstpalMetsavainio.jpg,Astro Anarchy,image
2012-08-17,https://apod.nasa.gov/apod/image/1208/n5033block_s913.jpg,https://apod.nasa.gov/apod/image/1208/n5033block.jpg,Adam Block,image
2012-08-18,https://apod.nasa.gov/apod/image/1208/curiosity_curiosity_960.jpg,https://apod.nasa.gov/apod/image/1208/curiosity_curiosity_5341.jpg,,image
2012-08-19,https://apod.nasa.gov/apod/image/1208/m72_hst_960.jpg,https://apod.nasa.gov/apod/image/1208/m72_hst_4114.jpg,,image
2012-08-20,https://apod.nasa.gov/apod/image/1208/sunfilament_dahl_960.jpg,https://apod.nasa.gov/apod/image/1208/sunfilament_dahl_1024.jpg,Bret Dahl,image
2012-08-21,https://www.youtube.com/embed/OjPcT1uUZiE?rel=0,https://www.youtube.com/embed/OjPcT1uUZiE?rel=0,"Drew Berry, 
 WEHI, 
 HHMI, 
 DNALC",video
2012-08-22,https://apod.nasa.gov/apod/image/1208/NLCWatersmall_pmheden900.jpg,https://apod.nasa.gov/apod/image/1208/NLCWatersmall_pmheden.jpg,Clear Skies,image
